"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"ACMI2","","Achillea millefolium","Vivace","Printemps","Vert","6.0","8.0","8","60","Intermédiaire","-38"
"ACMIO","","Achillea millefolium var. occidentalis","Vivace","Printemps","Vert","6.0","8.0","8","26","Intermédiaire","-38"
"ACHYR2","","Achyranthes","","","","","","","","",""
"ACAS","","Achyranthes aspera","Annuelle, Vivace","","","","","","","",""
"ACASP","","Achyranthes aspera var. pubescens","Annuelle, Vivace","","","","","","","",""
"ACINO","","Acinos","","","","","","","","",""
"ACAR2","","Acinos arvensis","Annuelle, Vivace","","","","","","","",""
"ACONI","","Aconitum","","","","","","","","",""
"ACUN","","Aconitum uncinatum","Vivace","","","","","","","",""
"ACUNM","","Aconitum uncinatum ssp. muticum","Vivace","","","","","","","",""
"ACUNU","","Aconitum uncinatum ssp. uncinatum","Vivace","","","","","","","",""
"ACORU","","Acorus","","","","","","","","",""
"ACCA4","","Acorus calamus","Vivace","Printemps et été","Vert","5.2","7.2","32","60","Intolérant","-38"
"ACTAE","","Actaea","","","","","","","","",""
"ACPA","","Actaea pachypoda","Vivace","","","","","","","",""
"ACPO11","","Actaea podocarpa","Vivace","","","","","","","",""
"ACRA7","","Actaea racemosa","Vivace","","","","","","","",""
"ACRAR","","Actaea racemosa var. racemosa","Vivace","","","","","","","",""
"ADIAN","","Adiantum","","","","","","","","",""
"ADAL","","Adiantum aleuticum","Vivace","","","","","","","",""
"ADCA","","Adiantum capillus-veneris","Vivace","Printemps et été","Vert","6.0","8.0","10","60","Tolérant","-33"
"ADPE","","Adiantum pedatum","Vivace","Printemps et été","Vert foncé","4.6","6.6","36","60","Tolérant","-38"
"ADLUM","","Adlumia","","","","","","","","",""
"ADFU","","Adlumia fungosa","Biennale","","","","","","","",""
"AEGIL","","Aegilops","","","","","","","","",""
"AETR","","Aegilops triuncialis","Annuelle","","","","","","","",""
"AEGOP","","Aegopodium","","","","","","","","",""
"AEPO","","Aegopodium podagraria","Vivace","","","","","","","",""
"AESCH","","Aeschynomene","","","","","","","","",""
"AEAM","","Aeschynomene americana","Vivace","","","","","","","",""
"AEVI3","","Aeschynomene virginica","Annuelle","","","","","","","",""
"AESCU","","Aesculus","","","","","","","","",""
"AEFL","","Aesculus flava","Vivace","Printemps et été","Vert","5.0","7.0","39","84","Tolérant","-18"
"AEHI","","Aesculus hippocastanum","Vivace","","","","","","","",""
"AEHY","","Aesculus ×hybrida","Vivace","","","","","","","",""
"AGALI","","Agalinis","","","","","","","","",""
"AGAC","","Agalinis acuta","Annuelle","","","","","","","",""
"AGAU3","","Agalinis auriculata","Annuelle","","","","","","","",""
"AGFA2","","Agalinis fasciculata","Annuelle","","","","","","","",""
"AGLI2","","Agalinis linifolia","Vivace","","","","","","","",""
"AGMA3","","Agalinis maritima","Annuelle","","","","","","","",""
"AGMAM","","Agalinis maritima var. maritima","Annuelle","","","","","","","",""
"AGOB","","Agalinis obtusifolia","Annuelle","","","","","","","",""
"AGPU5","","Agalinis purpurea","Annuelle","","","","","","","",""
"AGSE3","","Agalinis setacea","Annuelle","","","","","","","",""
"AGSK","","Agalinis skinneriana","Annuelle","","","","","","","",""
"AGTE3","","Agalinis tenuifolia","Annuelle","","","","","","","",""
"AGTET","","Agalinis tenuifolia var. tenuifolia","Annuelle","","","","","","","",""
"AGAST","","Agastache","","","","","","","","",""
"AGNE2","","Agastache nepetoides","Vivace","","","","","","","",""
"AGSC","","Agastache scrophulariifolia","Vivace","","","","","","","",""
"AGERA2","","Ageratina","","","","","","","","",""
"AGAL5","","Ageratina altissima","Vivace","","","","","","","",""
"AGALA","","Ageratina altissima var. altissima","Vivace","","","","","","","",""
"AGAR4","","Ageratina aromatica","Vivace","","","","","","","",""
"AGARA","","Ageratina aromatica var. aromatica","Vivace","","","","","","","",""
"AGERA","","Ageratum","","","","","","","","",""
"AGCO","","Ageratum conyzoides","Annuelle, Vivace","","","","","","","",""
"AGRIM","","Agrimonia","","","","","","","","",""
"AGGR2","","Agrimonia gryposepala","Vivace","Printemps","Vert","4.5","7.0","15","55","Intermédiaire","-43"
"AGMI2","","Agrimonia microcarpa","Vivace","","","","","","","",""
"AGPA6","","Agrimonia parviflora","Vivace","Printemps et été","Vert","6.0","8.0","24","50","Intermédiaire","-33"
"AGPU","","Agrimonia pubescens","Vivace","","","","","","","",""
"AGRO3","","Agrimonia rostellata","Vivace","Printemps","Vert","4.5","7.0","35","50","Intermédiaire","-33"
"AGST","","Agrimonia striata","Vivace","Printemps et été","Vert","5.5","7.5","8","45","Tolérant","-43"
"AGROS","","Agrostemma","","","","","","","","",""
"AGGI","","Agrostemma githago","Annuelle","","","","","","","",""
"AGROS2","","Agrostis","","","","","","","","",""
"AGCA4","","Agrostis canina","Vivace","Printemps et été","Vert","5.0","7.5","30","60","Intolérant","-33"
"AGCA5","","Agrostis capillaris","Vivace","Printemps et été","Vert","4.9","7.5","32","60","Intolérant","-53"
"AGEL4","","Agrostis elliottiana","Annuelle","","","","","","","",""
"AGGI2","","Agrostis gigantea","Vivace","Printemps et été","Vert","4.5","8.0","28","60","Intolérant","-38"
"AGHY","","Agrostis hyemalis","Vivace","Printemps, été, automne","Vert","5.0","7.5","20","45","Intermédiaire","-33"
"AGPE","","Agrostis perennans","Vivace","Printemps, été, automne","Vert","5.5","7.5","32","56","Intermédiaire","-33"
"AGSC5","","Agrostis scabra","Vivace","Printemps","Vert","6.0","8.0","14","60","Intolérant","-38"
"AGST2","","Agrostis stolonifera","Vivace","Printemps et été","Vert","5.1","7.5","32","60","Intolérant","-53"
"AILAN","","Ailanthus","","","","","","","","",""
"AIAL","","Ailanthus altissima","Vivace","Printemps et été","Vert","4.1","7.9","14","90","Intolérant","-18"
"AIRA","","Aira","","","","","","","","",""
"AICA","","Aira caryophyllea","Annuelle","","","","","","","",""
"AICAC2","","Aira caryophyllea var. caryophyllea","Annuelle","","","","","","","",""
"AIEL4","","Aira elegans","Annuelle","","","","","","","",""
"AIPR","","Aira praecox","Annuelle","","","","","","","",""
"AJUGA","","Ajuga","","","","","","","","",""
"AJCH","","Ajuga chamaepitys","Annuelle","","","","","","","",""
"AJGE","","Ajuga genevensis","Vivace","","","","","","","",""
"AJRE","","Ajuga reptans","Vivace","Printemps, été, automne","Vert","5.5","7.5","35","65","Tolérant","-23"
"AKEBI","","Akebia","","","","","","","","",""
"AKQU","","Akebia quinata","Vivace","","","","","","","",""
"ALBIZ","","Albizia","","","","","","","","",""
"ALJU","","Albizia julibrissin","Vivace","Printemps et été","Blanc-gris","4.8","7.3","30","60","Intolérant","2"
"ALCEA","","Alcea","","","","","","","","",""
"ALRO3","","Alcea rosea","Biennale, Vivace","","","","","","","",""
"ALETR","","Aletris","","","","","","","","",""
"ALAU","","Aletris aurea","Vivace","","","","","","","",""
"ALFA2","","Aletris farinosa","Vivace","","","","","","","",""
"ALISM","","Alisma","","","","","","","","",""
"ALSU","","Alisma subcordatum","Vivace","Printemps et été","Vert","5.0","7.0","35","60","Intolérant","-33"
"ALTR7","","Alisma triviale","Vivace","","","","","","","",""
"ALLIA","","Alliaria","","","","","","","","",""
"ALPE4","","Alliaria petiolata","Annuelle, Biennale","","","","","","","",""
"ALLIU","","Allium","","","","","","","","",""
"ALCA3","","Allium canadense","Vivace","","","","","","","",""
"ALCAC","","Allium canadense var. canadense","Vivace","","","","","","","",""
"ALCE2","","Allium cernuum","Vivace","","","","","","","",""
"ALCEC2","","Allium cernuum var. cernuum","Vivace","","","","","","","",""
"ALSA2","","Allium sativum","Vivace","","","","","","","",""
"ALSC","","Allium schoenoprasum","Vivace","","","","","","","",""
"ALSCS","","Allium schoenoprasum var. sibiricum","Vivace","","","","","","","",""
"ALTR3","","Allium tricoccum","Vivace","","","","","","","",""
"ALVI","","Allium vineale","Vivace","","","","","","","",""
"ALVIV","","Allium vineale ssp. vineale","Vivace","","","","","","","",""
"ALLOT2","","Alloteropsis","","","","","","","","",""
"ALCI3","","Alloteropsis cimicina","Annuelle","","","","","","","",""
"ALNUS","","Alnus","","","","","","","","",""
"ALIN2","","Alnus incana","Vivace","Printemps et été","Vert","5.0","7.0","32","60","Intermédiaire","-33"
"ALINR","","Alnus incana ssp. rugosa","Vivace","Printemps et été","Vert foncé","4.8","7.7","21","65","Intermédiaire","-47"
"ALMA7","","Alnus maritima","Vivace","Printemps et été","Vert","5.0","7.0","36","50","Intermédiaire","2"
"ALSE2","","Alnus serrulata","Vivace","Printemps et été","Vert","5.0","7.0","32","60","Intolérant","-23"
"ALOPE","","Alopecurus","","","","","","","","",""
"ALAE","","Alopecurus aequalis","Vivace","Printemps et été","Vert","5.5","8.0","18","45","Intermédiaire","-38"
"ALAEA","","Alopecurus aequalis var. aequalis","Vivace","","","","","","","",""
"ALCA4","","Alopecurus carolinianus","Annuelle","Printemps","Vert","4.0","7.5","15","60","Intolérant","-43"
"ALGE2","","Alopecurus geniculatus","Vivace","Printemps","Vert","4.0","7.5","20","45","Intolérant","-43"
"ALGEG4","","Alopecurus geniculatus var. geniculatus","Vivace","","","","","","","",""
"ALMY","","Alopecurus myosuroides","Annuelle","Printemps","Vert","4.0","7.5","35","55","Intolérant","-28"
"ALPR3","","Alopecurus pratensis","Vivace","Printemps et été","Vert","5.8","8.0","18","60","Intolérant","-38"
"ALTER2","","Alternanthera","","","","","","","","",""
"ALBE","","Alternanthera bettzichiana","Vivace","","","","","","","",""
"ALCA5","","Alternanthera caracasana","Vivace","","","","","","","",""
"ALFI8","","Alternanthera ficoidea","Vivace","","","","","","","",""
"ALSE4","","Alternanthera sessilis","Annuelle, Vivace","","","","","","","",""
"ALTHA","","Althaea","","","","","","","","",""
"ALOF2","","Althaea officinalis","Vivace","","","","","","","",""
"ALYSS","","Alyssum","","","","","","","","",""
"ALAL3","","Alyssum alyssoides","Annuelle, Biennale","","","","","","","",""
"AMARA","","Amaranthus","","","","","","","","",""
"AMAL","","Amaranthus albus","Annuelle","","","","","","","",""
"AMBL","","Amaranthus blitoides","Annuelle","","","","","","","",""
"AMBL2","","Amaranthus blitum","Annuelle","","","","","","","",""
"AMBLE2","","Amaranthus blitum var. emarginatus","Annuelle","","","","","","","",""
"AMCA2","","Amaranthus cannabinus","Vivace","","","","","","","",""
"AMCR4","","Amaranthus cruentus","Annuelle","","","","","","","",""
"AMDE","","Amaranthus deflexus","Annuelle","","","","","","","",""
"AMHY","","Amaranthus hybridus","Annuelle","","","","","","","",""
"AMPA","","Amaranthus palmeri","Annuelle","","","","","","","",""
"AMPU2","","Amaranthus pumilus","Annuelle","","","","","","","",""
"AMRE","","Amaranthus retroflexus","Annuelle","","","","","","","",""
"AMSP","","Amaranthus spinosus","Annuelle","","","","","","","",""
"AMBRO","","Ambrosia","","","","","","","","",""
"AMAR2","","Ambrosia artemisiifolia","Annuelle","","","","","","","",""
"AMARE","","Ambrosia artemisiifolia var. elatior","Annuelle","","","","","","","",""
"AMBI2","","Ambrosia bidentata","Annuelle","","","","","","","",""
"AMTR","","Ambrosia trifida","Annuelle","","","","","","","",""
"AMTRT2","","Ambrosia trifida var. trifida","Annuelle","","","","","","","",""
"AMELA","","Amelanchier","","","","","","","","",""
"AMAR3","","Amelanchier arborea","Vivace","Printemps et été","Vert foncé","4.8","7.5","26","80","Tolérant","-47"
"AMARA4","","Amelanchier arborea var. arborea","Vivace","","","","","","","",""
"AMCA4","","Amelanchier canadensis","Vivace","Printemps et été","Vert","5.5","7.5","30","60","Intermédiaire","-33"
"AMHU2","","Amelanchier humilis","Vivace","","","","","","","",""
"AMIN4","","Amelanchier ×intermedia","Vivace","","","","","","","",""
"AMLA","","Amelanchier laevis","Vivace","Printemps et été","Vert","4.8","7.0","34","60","Tolérant","-38"
"AMNA2","","Amelanchier nantucketensis","Vivace","","","","","","","",""
"AMOB2","","Amelanchier obovalis","Vivace","Printemps","Vert foncé","5.0","7.0","30","90","Intolérant","-23"
"AMSA","","Amelanchier sanguinea","Vivace","Printemps et été","Vert","4.5","7.2","35","55","Tolérant","-43"
"AMSAS","","Amelanchier sanguinea var. sanguinea","Vivace","","","","","","","",""
"AMST80","","Amelanchier stolonifera","Vivace","","","","","","","",""
"AMIAN","","Amianthium","","","","","","","","",""
"AMMU","","Amianthium muscitoxicum","Vivace","","","","","","","",""
"AMMAN","","Ammannia","","","","","","","","",""
"AMCO","","Ammannia coccinea","Annuelle","Printemps","Vert","4.0","5.9","16","60","Intolérant","-38"
"AMLA3","","Ammannia latifolia","Annuelle","","","","","","","",""
"AMMOP","","Ammophila","","","","","","","","",""
"AMAR4","","Ammophila arenaria","Vivace","Printemps et automne","Vert","6.0","8.5","30","60","Intolérant","7"
"AMBR","","Ammophila breviligulata","Vivace","Printemps, été, automne","Vert","5.8","7.8","35","60","Intolérant","-28"
"AMORP","","Amorpha","","","","","","","","",""
"AMFR","","Amorpha fruticosa","Vivace","Printemps et été","Vert","5.0","8.5","10","65","Intolérant","-38"
"AMPEL3","","Ampelopsis","","","","","","","","",""
"AMAR5","","Ampelopsis arborea","Vivace","Été","Vert","4.0","8.0","35","60","Tolérant","-13"
"AMBR7","","Ampelopsis brevipedunculata","Vivace","","","","","","","",""
"AMCO2","","Ampelopsis cordata","Vivace","Printemps et été","Vert","5.2","7.4","32","60","Tolérant","-8"
"AMPHI4","","Amphicarpaea","","","","","","","","",""
"AMBR2","","Amphicarpaea bracteata","Annuelle, Vivace","","","","","","","",""
"AMBRB","","Amphicarpaea bracteata var. bracteata","Annuelle, Vivace","","","","","","","",""
"AMBRC","","Amphicarpaea bracteata var. comosa","Annuelle, Vivace","","","","","","","",""
"AMPHI2","","Amphicarpum","","","","","","","","",""
"AMPU6","","Amphicarpum purshii","Annuelle, Vivace","","","","","","","",""
"AMSON","","Amsonia","","","","","","","","",""
"AMTA2","","Amsonia tabernaemontana","Vivace","","","","","","","",""
"AMTAT","","Amsonia tabernaemontana var. tabernaemontana","Vivace","","","","","","","",""
"ANAGA","","Anagallis","","","","","","","","",""
"ANAR","","Anagallis arvensis","Annuelle, Biennale","","","","","","","",""
"ANARA7","","Anagallis arvensis ssp. arvensis","Annuelle, Biennale","","","","","","","",""
"ANMI4","","Anagallis minima","Annuelle","","","","","","","",""
"ANAPH","","Anaphalis","","","","","","","","",""
"ANMA","","Anaphalis margaritacea","Vivace","Printemps et été","Vert","6.0","7.5","10","35","Intermédiaire","-43"
"ANCHU","","Anchusa","","","","","","","","",""
"ANAR16","","Anchusa arvensis","Annuelle","","","","","","","",""
"ANAZ","","Anchusa azurea","Vivace","","","","","","","",""
"ANDRO2","","Andropogon","","","","","","","","",""
"ANGE","","Andropogon gerardii","Vivace","Été","Vert","6.0","7.5","12","55","Intolérant","-46"
"ANGL10","","Andropogon glaucopsis","Vivace","","","","","","","",""
"ANGL2","","Andropogon glomeratus","Vivace","Été","Vert","5.0","6.3","35","70","Intolérant","-23"
"ANGLG2","","Andropogon glomeratus var. glomeratus","Vivace","","","","","","","",""
"ANGLH","","Andropogon glomeratus var. hirsutior","Vivace","","","","","","","",""
"ANGY2","","Andropogon gyrans","Vivace","","","","","","","",""
"ANGYG","","Andropogon gyrans var. gyrans","Vivace","","","","","","","",""
"ANTE2","","Andropogon ternarius","Vivace","Été","Vert","4.0","7.5","20","60","Tolérant","-18"
"ANTET","","Andropogon ternarius var. ternarius","Vivace","","","","","","","",""
"ANVI2","","Andropogon virginicus","Vivace","Été","Vert","4.9","7.0","30","45","Intolérant","-18"
"ANVIV","","Andropogon virginicus var. virginicus","Vivace","","","","","","","",""
"ANEMO","","Anemone","","","","","","","","",""
"ANCA8","","Anemone canadensis","Vivace","","","","","","","",""
"ANLA","","Anemone lancifolia","Vivace","","","","","","","",""
"ANQU","","Anemone quinquefolia","Vivace","","","","","","","",""
"ANQUQ","","Anemone quinquefolia var. quinquefolia","Vivace","","","","","","","",""
"ANVI3","","Anemone virginiana","Vivace","","","","","","","",""
"ANVIV2","","Anemone virginiana var. virginiana","Vivace","","","","","","","",""
"ANETH","","Anethum","","","","","","","","",""
"ANGR2","","Anethum graveolens","Annuelle","","","","","","","",""
"ANGEL","","Angelica","","","","","","","","",""
"ANAT","","Angelica atropurpurea","Vivace","","","","","","","",""
"ANTR2","","Angelica triquinata","Vivace","","","","","","","",""
"ANVE","","Angelica venenosa","Vivace","","","","","","","",""
"ANTEN","","Antennaria","","","","","","","","",""
"ANHO","","Antennaria howellii","Vivace","","","","","","","",""
"ANHON","","Antennaria howellii ssp. neodioica","Vivace","","","","","","","",""
"ANNE","","Antennaria neglecta","Vivace","Printemps et été","Vert foncé","5.5","7.5","11","60","Intolérant","-38"
"ANPA9","","Antennaria parlinii","Vivace","","","","","","","",""
"ANPAF","","Antennaria parlinii ssp. fallax","Vivace","","","","","","","",""
"ANPAP","","Antennaria parlinii ssp. parlinii","Vivace","","","","","","","",""
"ANPL","","Antennaria plantaginifolia","Vivace","","","","","","","",""
"ANSO","","Antennaria solitaria","Vivace","","","","","","","",""
"ANVI13","","Antennaria virginica","Vivace","","","","","","","",""
"ANTHE","","Anthemis","","","","","","","","",""
"ANAR6","","Anthemis arvensis","Annuelle","","","","","","","",""
"ANCO2","","Anthemis cotula","Annuelle","","","","","","","",""
"ANTI","","Anthemis tinctoria","Vivace","","","","","","","",""
"ANTHO","","Anthoxanthum","","","","","","","","",""
"ANOD","","Anthoxanthum odoratum","Vivace","","","","","","","",""
"ANODO2","","Anthoxanthum odoratum ssp. odoratum","Vivace","","","","","","","",""
"ANTHR","","Anthriscus","","","","","","","","",""
"ANSY","","Anthriscus sylvestris","Annuelle, Biennale","","","","","","","",""
"APERA","","Apera","","","","","","","","",""
"APSP","","Apera spica-venti","Annuelle","","","","","","","",""
"APHAN4","","Aphanes","","","","","","","","",""
"APMI","","Aphanes microcarpa","Annuelle","","","","","","","",""
"APIOS","","Apios","","","","","","","","",""
"APAM","","Apios americana","Vivace","Printemps et été","Vert","6.0","7.5","28","55","Tolérant","-23"
"APLEC","","Aplectrum","","","","","","","","",""
"APHY","","Aplectrum hyemale","Vivace","","","","","","","",""
"APLUD","","Apluda","","","","","","","","",""
"APMU2","","Apluda mutica","Vivace","","","","","","","",""
"APOCY","","Apocynum","","","","","","","","",""
"APAN2","","Apocynum androsaemifolium","Vivace","","","","","","","",""
"APCA","","Apocynum cannabinum","Vivace","Printemps et été","Vert","4.5","7.0","15","60","Intermédiaire","-43"
"APFL","","Apocynum ×floribundum","Vivace","","","","","","","",""
"AQUIL","","Aquilegia","","","","","","","","",""
"AQCA","","Aquilegia canadensis","Vivace","","","","","","","",""
"AQVU","","Aquilegia vulgaris","Vivace","","","","","","","",""
"ARABI","","Arabidopsis","","","","","","","","",""
"ARTH","","Arabidopsis thaliana","Annuelle","","","","","","","",""
"ARABI2","","Arabis","","","","","","","","",""
"ARCA","","Arabis canadensis","Biennale","","","","","","","",""
"ARGL","","Arabis glabra","Annuelle, Biennale, Vivace","","","","","","","",""
"ARHI","","Arabis hirsuta","Annuelle, Biennale, Vivace","","","","","","","",""
"ARHIP","","Arabis hirsuta var. pycnocarpa","Annuelle, Biennale, Vivace","","","","","","","",""
"ARLA","","Arabis laevigata","Biennale","","","","","","","",""
"ARLAB","","Arabis laevigata var. burkii","Biennale","","","","","","","",""
"ARLAL","","Arabis laevigata var. laevigata","Biennale","","","","","","","",""
"ARLY2","","Arabis lyrata","Biennale, Vivace","","","","","","","",""
"ARMI5","","Arabis missouriensis","Vivace","","","","","","","",""
"ARPA2","","Arabis patens","Biennale","","","","","","","",""
"ARSH2","","Arabis shortii","Biennale, Vivace","","","","","","","",""
"ARALI","","Aralia","","","","","","","","",""
"ARHI2","","Aralia hispida","Vivace","","","","","","","",""
"ARNU2","","Aralia nudicaulis","Vivace","Printemps et été","Vert foncé","5.0","7.2","32","50","Tolérant","-38"
"ARRA","","Aralia racemosa","Vivace","","","","","","","",""
"ARRAR","","Aralia racemosa ssp. racemosa","Vivace","","","","","","","",""
"ARSP2","","Aralia spinosa","Vivace","Printemps et été","Vert","4.8","6.6","35","80","Intolérant","-25"
"ARCTI","","Arctium","","","","","","","","",""
"ARLA3","","Arctium lappa","Biennale","","","","","","","",""
"ARMI2","","Arctium minus","Biennale","","","","","","","",""
"ARTO","","Arctium tomentosum","Biennale","","","","","","","",""
"ARCTO3","","Arctostaphylos","","","","","","","","",""
"ARUV","","Arctostaphylos uva-ursi","Vivace","Printemps et été","Vert foncé","5.5","8.0","14","45","Intermédiaire","-33"
"ARENA","","Arenaria","","","","","","","","",""
"ARSE2","","Arenaria serpyllifolia","Annuelle","","","","","","","",""
"ARETH","","Arethusa","","","","","","","","",""
"ARBU","","Arethusa bulbosa","Vivace","","","","","","","",""
"ARGEM","","Argemone","","","","","","","","",""
"ARAL3","","Argemone albiflora","Annuelle, Biennale","","","","","","","",""
"ARALA2","","Argemone albiflora ssp. albiflora","Annuelle, Biennale","","","","","","","",""
"ARME4","","Argemone mexicana","Annuelle","","","","","","","",""
"ARGEN","","Argentina","","","","","","","","",""
"ARAN7","","Argentina anserina","Vivace","Printemps et été","Vert","7.0","8.0","11","40","Tolérant","-23"
"ARISA","","Arisaema","","","","","","","","",""
"ARDR3","","Arisaema dracontium","Vivace","","","","","","","",""
"ARTR","","Arisaema triphyllum","Vivace","Printemps et été","Vert","4.8","7.0","34","50","Tolérant","-18"
"ARTRP","","Arisaema triphyllum ssp. pusillum","Vivace","","","","","","","",""
"ARTRS","","Arisaema triphyllum ssp. stewardsonii","Vivace","","","","","","","",""
"ARTRT3","","Arisaema triphyllum ssp. triphyllum","Vivace","","","","","","","",""
"ARIST","","Aristida","","","","","","","","",""
"ARAD","","Aristida adscensionis","Annuelle","","","","","","","",""
"ARDI4","","Aristida dichotoma","Annuelle","","","","","","","",""
"ARDIC","","Aristida dichotoma var. curtissii","Annuelle","","","","","","","",""
"ARDID","","Aristida dichotoma var. dichotoma","Annuelle","","","","","","","",""
"ARLA6","","Aristida lanosa","Vivace","","","","","","","",""
"ARLO16","","Aristida longespica","Annuelle","","","","","","","",""
"ARLOG6","","Aristida longespica var. geniculata","Annuelle","","","","","","","",""
"ARLOL3","","Aristida longespica var. longespica","Annuelle","","","","","","","",""
"AROL","","Aristida oligantha","Annuelle","","","","","","","",""
"ARPU8","","Aristida purpurascens","Vivace","","","","","","","",""
"ARPUP4","","Aristida purpurascens var. purpurascens","Vivace","","","","","","","",""
"ARPUV","","Aristida purpurascens var. virgata","Vivace","","","","","","","",""
"ARTU","","Aristida tuberculosa","Annuelle","","","","","","","",""
"ARIST2","","Aristolochia","","","","","","","","",""
"ARCL","","Aristolochia clematitis","Vivace","","","","","","","",""
"ARMA7","","Aristolochia macrophylla","Vivace","","","","","","","",""
"ARSE3","","Aristolochia serpentaria","Vivace","","","","","","","",""
"ARMOR","","Armoracia","","","","","","","","",""
"ARRU4","","Armoracia rusticana","Vivace","","","","","","","",""
"ARNIC","","Arnica","","","","","","","","",""
"ARAC3","","Arnica acaulis","Vivace","","","","","","","",""
"ARNOG","","Arnoglossum","","","","","","","","",""
"ARAT","","Arnoglossum atriplicifolium","Vivace","","","","","","","",""
"ARRE6","","Arnoglossum reniforme","Vivace","","","","","","","",""
"ARRHE","","Arrhenatherum","","","","","","","","",""
"AREL3","","Arrhenatherum elatius","Vivace","Printemps","Vert","5.0","7.0","32","50","Intermédiaire","-38"
"ARELB","","Arrhenatherum elatius var. bulbosum","Vivace","","","","","","","",""
"ARELE","","Arrhenatherum elatius var. elatius","Vivace","","","","","","","",""
"ARTEM","","Artemisia","","","","","","","","",""
"ARAB2","","Artemisia abrotanum","Vivace","","","","","","","",""
"ARAB3","","Artemisia absinthium","Vivace","","","","","","","",""
"ARAN3","","Artemisia annua","Annuelle","","","","","","","",""
"ARBI2","","Artemisia biennis","Annuelle, Biennale","","","","","","","",""
"ARBIB","","Artemisia biennis var. biennis","Annuelle, Biennale","","","","","","","",""
"ARLU","","Artemisia ludoviciana","Vivace","Printemps et été","Blanc-gris","6.0","9.0","10","60","Intolérant","-33"
"ARLUL2","","Artemisia ludoviciana ssp. ludoviciana","Vivace","","","","","","","",""
"ARPO4","","Artemisia pontica","Vivace","","","","","","","",""
"ARSC4","","Artemisia scoparia","Biennale","","","","","","","",""
"ARST6","","Artemisia stelleriana","Vivace","","","","","","","",""
"ARVU","","Artemisia vulgaris","Vivace","","","","","","","",""
"ARTHR","","Arthraxon","","","","","","","","",""
"ARHI3","","Arthraxon hispidus","Annuelle","","","","","","","",""
"ARUNC","","Aruncus","","","","","","","","",""
"ARDI8","","Aruncus dioicus","Vivace","","","","","","","",""
"ARDID2","","Aruncus dioicus var. dioicus","Vivace","","","","","","","",""
"ARDIP","","Aruncus dioicus var. pubescens","Vivace","","","","","","","",""
"ARUND2","","Arundinaria","","","","","","","","",""
"ARGI","","Arundinaria gigantea","Vivace","Printemps","Vert foncé","5.0","6.9","24","100","Intolérant","-23"
"ARTE4","","Arundinaria tecta","Vivace","","","","","","","",""
"ARUND4","","Arundo","","","","","","","","",""
